Source_Category,Source_Node,Target_Category,Target_Node,Topological_Score,Cooccurrence_Score,Bridge_Bonus,Predicted_Link_Strength
Material,silicon-si-and-porous-silicon-psi,Application,neuromorphic-computing--hardware,4,0.92,1.0,9.92
Theory,active-matter-theory,Application,active-matter-research--control,4,0.0,1.5,9.5
Material,conductive-filler-composites,Application,neuromorphic-computing--hardware,4,0.465,1.0,9.465
Theory,magnetic-field-theory,Application,microrobotics,3,0.632,1.5,8.132
Theory,liquid-crystal-theory,Material,nematic-lcs,4,0.0,0.0,8.0
Theory,collective-intelligence-conceptual,Application,active-matter-research--control,3,0.0,1.5,7.5
Material,oxides,Application,neuromorphic-computing--hardware,3,-0.31,1.0,7.0
Material,ion-exchange-polymer-nafion,Application,active-matter-research--control,3,0.0,1.0,7.0
Material,metals,Application,neuromorphic-computing--hardware,3,-0.115,1.0,7.0
Method,particle-cell-tracking-analysis,Application,microrobotics,3,0.783,0.0,6.783
Theory,physical-intelligence-pi,Material,phase-change-composites,3,0.783,0.0,6.783
Method,polymer-synthesis-processing,Application,structural-health-monitoring,3,0.707,0.0,6.707
Mechanism,mechanical-actuation,Application,soft-robotics,3,0.676,0.0,6.676
Mechanism,shape-memory,Application,soft-robotics,3,0.584,0.0,6.584
Phenomenon,stimuli-responsive-property-switching,Application,soft-robotics,3,0.5,0.0,6.5
Mechanism,mechanical-transduction,Phenomenon,damage-self-reporting,3,0.446,0.0,6.446
Theory,liquid-crystal-theory,Application,biosensing,2,0.849,1.5,6.349
Theory,continuum-mechanics,Material,mechanical-metamaterials,3,0.317,0.0,6.317
Phenomenon,stimuli-responsive-property-switching,Material,silicon-si-and-porous-silicon-psi,3,0.22,0.0,6.22
Method,external-field-control,Material,metals,3,0.104,0.0,6.104
Method,mechanical-input-control,Material,microcapsule-composites,3,-0.213,0.0,6.0
Theory,active-matter-theory,Mechanism,driven-by-physical-forces-dynamics,3,0.0,0.0,6.0
Phenomenon,stimuli-responsive-property-switching,Application,energy-harvesting,3,0.0,0.0,6.0
Mechanism,driven-by-biological-processes,Application,tissue-engineering,3,0.0,0.0,6.0
Phenomenon,velocity-fields,Material,active-matter-fluids,3,-0.447,0.0,6.0
Theory,physical-intelligence-pi,Material,liquid-crystal-elastomers-lces,3,-0.194,0.0,6.0
Method,mechanical-testing,Material,lce-metamaterial-composites,3,0.0,0.0,6.0
Mechanism,chemical-transduction,Application,drug-delivery,3,-0.016,0.0,6.0
Phenomenon,discrete-nanostructure-formation,Application,nanotechnology--micro-assembly,3,-0.447,0.0,6.0
Mechanism,driven-by-physical-forces-dynamics,Material,lce-metamaterial-composites,3,0.0,0.0,6.0
Method,mechanical-testing,Material,microcapsule-composites,3,-0.563,0.0,6.0
Phenomenon,autonomous-self-propulsion,Application,active-matter-research--control,3,0.0,0.0,6.0
Theory,assembly-theory-at,Application,artificial-cells--protocells,2,0.224,1.5,5.724
Theory,continuum-mechanics,Application,drug-delivery,2,0.183,1.5,5.683
Theory,continuum-mechanics,Application,bioengineering--biomedical-devices,2,0.0,1.5,5.5
Theory,statistical-mechanics--stochastic-thermodynamics,Application,active-matter-research--control,2,0.0,1.5,5.5
Theory,continuum-mechanics,Application,soft-robotics,2,-0.018,1.5,5.5
Material,colloidal-particles,Application,nanotechnology--micro-assembly,2,0.465,1.0,5.465
Material,silicon-si-and-porous-silicon-psi,Application,structural-health-monitoring,2,0.438,1.0,5.438
Material,graphene--2d-materials,Application,neuromorphic-computing--hardware,2,0.418,1.0,5.418
Material,pnipam-networks-in-ionic-liquid,Application,neuromorphic-computing--hardware,2,0.122,1.0,5.122
Material,granular-media,Application,active-matter-research--control,2,0.0,1.0,5.0
Material,mechanical-metamaterials,Application,active-matter-research--control,2,0.0,1.0,5.0
Material,photomechanochromic-polymers,Application,energy-harvesting,2,0.0,1.0,5.0
Material,mechanical-metamaterials,Application,soft-robotics,2,-0.237,1.0,5.0
Material,liquid-crystal-elastomers-lces,Application,energy-harvesting,2,0.0,1.0,5.0
Material,ferrofluids,Application,active-matter-research--control,2,0.0,1.0,5.0
Material,silicon-si-and-porous-silicon-psi,Application,energy-harvesting,2,0.0,1.0,5.0
Material,nematic-lcs,Application,biosensing,2,-0.31,1.0,5.0
Material,elastomers-general,Application,unconventional--physical-computing,2,-0.539,1.0,5.0
Material,other-nanoparticles,Application,microrobotics,2,-0.112,1.0,5.0
