Concept,Influence_PageRank,Interdisciplinarity_Entropy,Category
physical-embodied-computation,0.021607284618030236,2.443462120297664,Mechanism
statistical-mechanics--stochastic-thermodynamics,0.020635002234684216,2.4312303253668928,Theory
mechanical-actuation,0.018532338188458224,2.4508333577164825,Mechanism
collective-intelligence-conceptual,0.017775195644621284,2.4536062703704022,Theory
network-theory,0.017207440725385124,2.425356590574829,Theory
driven-by-physical-forces-dynamics,0.01578519421214942,2.439107841243128,Mechanism
energy-flow-dissipation,0.014311832035973476,2.4495278919356775,Mechanism
mechanical-testing,0.01366890977036674,2.4337535813636557,Method
indirect-relayed-sensing,0.013186290967870521,2.4317124087467765,Mechanism
driven-by-biological-processes,0.012497898607277342,2.440321432985377,Mechanism
network-modeling,0.011494689683863846,2.434815137859464,Method
collective-swarm-computation,0.011428087110875817,2.440322901231478,Mechanism
reaction-diffusion-systems,0.010761070633673172,2.436126549551752,Phenomenon
dynamical-systems-theory,0.010532617634622333,2.422950499528481,Theory
continuum-modeling,0.010528037304411236,2.3937643669482225,Method
neuromorphic-computation,0.010325238793332471,2.437460936673133,Mechanism
driven-by-thermodynamic-statistical-principles,0.010301972279566163,2.437460936673133,Mechanism
chemical-transduction,0.010141515055252204,2.3974369286088306,Mechanism
flocking--schooling--swarming,0.009496681474325159,2.434815137859464,Phenomenon
phase-conformation-memory,0.009160616622519963,2.4288177907307618,Mechanism
hydrogels-general,0.009049495401949596,2.3996928030087554,Material
living-cells-and-tissues,0.008965175627802389,2.426160134581114,Material
microcapsule-composites,0.008944499416727413,2.441411123524219,Material
criticality--phase-transitions,0.008858344314708163,2.435991603036347,Phenomenon
continuum-mechanics,0.008796843070331954,2.4335727027191068,Theory
mechanical-transduction,0.008633445706399177,2.437460936673133,Mechanism
microscopy,0.008438414482259932,2.4306169587476796,Method
electrical-measurements,0.00840405845536114,2.4355900246991253,Method
liquid-crystal-elastomers-lces,0.008220776189325516,2.4462793375119056,Material
embodied-intelligence-conceptual,0.008163612584380786,2.421994077845235,Theory
mathematical-analysis,0.008131438307192389,2.4370098544182337,Method
stimuli-responsive-property-switching,0.008071956771014648,2.434815137859464,Phenomenon
morphogenesis--regeneration--homeostasis,0.007999358108506304,2.432467792017392,Phenomenon
shape-memory-polymers-smps,0.007930525855426786,2.426160134581114,Material
physical-intelligence-pi,0.007796646083913021,2.428668998839514,Theory
mechanical-metamaterials,0.007430720308522442,2.4362559172020344,Material
quantum-mechanics,0.00725169796142074,2.4325079109802115,Theory
self-healing--self-repair,0.007133100741971929,2.4508330623448162,Phenomenon
biological-construction,0.007123811264338585,2.438371743201096,Method
liquid-crystal-theory,0.007108054804283311,2.4007916472635125,Theory
optical-response,0.006849049498805368,2.4315633696054637,Mechanism
thermal-analysis-dsc,0.0068185944269158315,2.435002772726173,Method
self-healing-materials-applications,0.006748659077855739,2.4297572995406975,Application
synaptic-plasticity-emulation,0.006717198157319394,2.43471163142268,Phenomenon
optical-transduction,0.0065392626727775564,2.4288177907307618,Mechanism
thermal-transduction,0.006380546675598228,2.3979252751714273,Mechanism
magnetic-transduction,0.006378670640060892,2.4197968849547586,Mechanism
agent-based-modeling-abm,0.006343982828146718,2.4320016392574804,Method
statistical-analysis,0.006186146403215996,2.435660071708739,Method
spectroscopy,0.006164164985171155,2.4370809001016416,Method
algorithmic-adaptation-learning,0.006155736003982688,2.4351878619901077,Mechanism
learning--adaptive-behavior,0.006133307383219322,2.434815137859464,Phenomenon
memristors,0.006006763051708438,2.429221250239274,Material
thermodynamics-of-information,0.0058134428035783664,2.422950499528481,Theory
photomechanochromic-polymers,0.005771366225453464,2.4220427106123803,Material
autonomous-self-propulsion,0.005746227408106283,2.434815137859464,Phenomenon
electrical-ionic-transduction,0.005686230682992081,2.3979252751714273,Mechanism
external-field-control,0.005520280465836642,2.4355900246991253,Method
drug-delivery,0.00550113226677063,2.4342626903043425,Application
soft-robotics,0.005392186498560466,2.434815137859464,Application
nanowires,0.005328788162704704,2.3939225429766755,Material
controlled-locomotion--navigation,0.005250737214086687,2.434815137859464,Phenomenon
scale-free-dynamics--criticality,0.005207523584979931,2.429548366040566,Phenomenon
numerical-ode-pde-solvers,0.005161043004484495,2.4370098544182337,Method
quantum-systems,0.005121515704633183,2.4317562319016317,Material
active-inference-fep,0.004924980640514193,2.436137756645521,Theory
biosensing,0.004909805996318794,2.434815137859464,Application
assembly-theory-at,0.004873900222525246,2.4342626903043425,Theory
shape-memory,0.004825340447838814,2.4300724034396186,Mechanism
particle-based-modeling,0.004823939848718371,2.455278089069343,Method
resistance-switching-memristance,0.004789693871809094,2.437172520344365,Mechanism
bio-inspired-actuation,0.0047842208017204214,2.435660071708739,Phenomenon
collective-decision-making,0.00478356997516348,2.433636740846303,Phenomenon
self-assembling-peptides,0.0047536560419815955,2.4465172875223535,Material
phase-change-composites,0.004692326418362547,2.4443661175238662,Material
driven-by-algorithmic-computational-rules,0.0043957504400875085,2.4539306789232174,Mechanism
chemical-actuation,0.004368094984726507,2.4300724034396186,Mechanism
network-topology-analysis,0.004339180155212432,2.4370098544182337,Method
basal-minimal-cognition-conceptual,0.0043239728553288595,2.434815137859464,Theory
classification--regression-performance,0.004302060570342501,2.442846864746746,Phenomenon
equilibrium-self-assembly,0.004298354388259134,2.4359260503109135,Mechanism
inverse-design,0.0042795673304591485,2.4378488761404875,Method
self-assembly-methods,0.004257282443930267,2.434815137859464,Method
ferrofluids,0.004250212683849339,2.4362559172020344,Material
ferromagnetic-materials,0.004189733491832414,2.4362559172020344,Material
ness-states,0.004152545217831369,2.435660071708739,Phenomenon
shape-memory-effect,0.00411405568998616,2.434815137859464,Phenomenon
information-theory-metrics,0.004077494517458841,2.4370098544182337,Method
magnetoreception,0.004009898385168835,2.4352623790055947,Phenomenon
information-theory,0.003991892950096902,2.4362559172020344,Theory
criticality-driven-organization,0.003971696245368079,2.4335727027191068,Mechanism
microrobotics,0.003963785686717868,2.429724190623315,Application
memristance,0.0039622102919760465,2.4317124087467765,Phenomenon
reservoir-computing,0.003943631129499621,2.4362559172020344,Mechanism
